tfnames,fetal_expressed_bool,pn_expressed_bool
AHR,False,False
AIRE,False,False
ALX1,False,False
ANDR,False,False
AP2A,False,False
AP2B,False,False
AP2C,False,False
ARI5B,False,False
ARNT,True,True
ASCL1,False,False
ATF1,True,False
ATF2,True,True
ATF3,False,True
ATF4,True,True
ATF6A,True,True
ATOH1,False,False
BACH1,True,True
BACH2,False,False
BATF,False,False
BATF3,True,True
BC11A,False,False
BCL6,False,True
BHA15,False,False
BHE40,False,True
BMAL1,False,False
BRAC,False,False
CDX1,False,False
CDX2,False,False
CEBPA,True,True
CEBPB,True,True
CEBPD,True,True
CEBPE,False,False
CEBPG,True,True
CLOCK,False,False
COE1,False,False
COT1,False,False
COT2,False,False
CREB1,True,True
CREM,True,False
CRX,False,False
CTCF,True,True
CTCFL,False,False
CUX1,False,False
DBP,False,True
DLX3,False,False
DUX4,False,False
E2F1,False,False
E2F2,False,False
E2F3,True,True
E2F4,True,True
E2F5,False,False
E2F6,False,False
E2F7,False,False
EGR1,True,True
EGR2,False,True
EHF,False,False
ELF1,True,True
ELF2,True,True
ELF3,False,False
ELF5,False,False
ELK1,False,False
ELK4,True,True
EPAS1,False,False
ERG,False,False
ERR1,True,True
ERR2,False,False
ERR3,False,False
ESR1,False,False
ESR2,False,False
ETS1,True,False
ETS2,True,True
ETV1,False,False
ETV2,False,False
ETV4,False,False
ETV5,True,True
EVI1,False,False
FEV,False,False
FEZF1,False,False
FLI1,True,True
FOS,True,True
FOSB,True,True
FOSL1,False,False
FOSL2,False,False
FOXA1,False,False
FOXA2,False,False
FOXA3,False,False
FOXC1,False,False
FOXH1,False,False
FOXI1,False,False
FOXJ2,True,True
FOXJ3,True,True
FOXK1,True,True
FOXM1,True,False
FOXO1,False,True
FOXO3,False,True
FOXO4,False,False
FOXP1,False,False
FOXP2,False,False
FOXQ1,False,False
GABPA,True,False
GATA1,False,False
GATA2,False,False
GATA3,False,False
GATA4,False,False
GATA6,False,False
GCR,True,True
GFI1,False,False
GFI1B,False,False
GLI3,False,False
GRHL2,False,False
HEN1,False,False
HIC1,False,False
HIF1A,True,True
HINFP,False,False
HLF,False,False
HNF1A,False,False
HNF1B,False,False
HNF4A,False,False
HNF4G,False,False
HNF6,False,False
HSF1,True,True
HSF2,False,False
HTF4,True,True
HXA1,False,False
HXA10,False,False
HXA13,False,False
HXA9,False,False
HXB13,False,False
HXB4,False,False
HXB7,False,False
HXB8,False,False
HXC9,False,False
IKZF1,True,True
INSM1,False,False
IRF1,False,True
IRF2,True,True
IRF3,True,True
IRF4,False,False
IRF7,True,True
IRF8,True,True
IRF9,True,True
ISL1,False,False
ITF2,True,True
JUN,True,True
JUNB,True,True
JUND,True,True
KAISO,True,False
KLF1,False,False
KLF12,False,False
KLF15,False,False
KLF3,True,True
KLF4,True,True
KLF5,False,False
KLF6,True,True
KLF8,False,False
KLF9,False,True
LEF1,False,False
LHX2,False,False
LHX3,False,False
LYL1,True,True
MAF,True,True
MAFB,True,True
MAFF,False,False
MAFG,True,True
MAFK,False,True
MAX,True,True
MAZ,True,True
MBD2,False,True
MECP2,False,True
MEF2A,True,True
MEF2B,False,False
MEF2C,True,True
MEF2D,True,True
MEIS1,False,False
MEIS2,False,False
MITF,True,False
MTF1,False,False
MXI1,False,False
MYB,False,False
MYC,False,True
MYCN,False,False
MYF6,False,False
MYOD1,False,False
MYOG,False,False
MZF1,False,True
NANOG,False,False
NDF1,False,False
NDF2,False,False
NF2L1,True,True
